artist,country,genre,image_uri,uri,debut_album_year,track_name,song_uri,song_image_uri,group_size,gender
Wiz Khalifa,us,Hip Hop,https://i.scdn.co/image/ab6761610000e5eb4bdf6db5203f2a0e44002620,spotify:artist:137W8MRPWKqSmrBGDBFSop,2006,See You Again (feat. Charlie Puth),https://p.scdn.co/mp3-preview/5e12e18dbe096e7168a73675fd4e9892029fafe5?cid=98f79e400795491cbc5f69b713465708,https://i.scdn.co/image/ab67616d0000b2734e5df11b17b2727da2b718d8,1,m
Snoop Dogg,us,Hip Hop,https://i.scdn.co/image/ab6761610000e5eb9a398209a4ef3360dce2dec4,spotify:artist:7hJcb9fa4alzcOq3EaNPoG,1998,Bad Decisions (with BTS & Snoop Dogg),https://p.scdn.co/mp3-preview/11a6ef920711ae9a7639f3c90b886f7c2e511f83?cid=98f79e400795491cbc5f69b713465708,https://i.scdn.co/image/ab67616d0000b2738c47a33a55c6d23cc9d2cf3f,1,m
Halsey,us,Pop,https://i.scdn.co/image/ab6761610000e5ebd707e1c5177614c4ec95a06c,spotify:artist:26VFTg2z8YR0cCuwLzESi2,2015,Closer,https://p.scdn.co/mp3-preview/aacaac1614505dbb3eb2045a31f2c0cb70e7aa59?cid=98f79e400795491cbc5f69b713465708,https://i.scdn.co/image/ab67616d0000b273495ce6da9aeb159e94eaa453,1,f
One Direction,uk,Pop,https://i.scdn.co/image/5bb443424a1ad71603c43d67f5af1a04da6bb3c8,spotify:artist:4AK6F7OLvEQ5QYCBNiQWHq,2012,Night Changes,https://p.scdn.co/mp3-preview/a455445486a84585607b644237a17fd2a5feb67d?cid=98f79e400795491cbc5f69b713465708,https://i.scdn.co/image/ab67616d0000b273d304ba2d71de306812eebaf4,5,m
JAY-Z,us,Hip Hop,https://i.scdn.co/image/ab6761610000e5ebc75afcd5a9027f60eaebb5e4,spotify:artist:3nFkdlSjzX9mRTtwJOzDYB,1996,Ni**as In Paris,https://p.scdn.co/mp3-preview/8ee734acccd9f81888d878c7f1cfb71c8c2d1699?cid=98f79e400795491cbc5f69b713465708,https://i.scdn.co/image/ab67616d0000b273699bfca9512ee8d1fbf126a7,1,m
Pitbull,us,Pop,https://i.scdn.co/image/ab6761610000e5ebfc9d2abc85b6f4bef77f80ea,spotify:artist:0TnOYISbd1XYRBk9myaseg,2004,"Give Me Everything (feat. Ne-Yo, Afrojack & Nayer)",https://p.scdn.co/mp3-preview/bc3ab974555f9136cdbc25a003b55f93ca4b3c78?cid=98f79e400795491cbc5f69b713465708,https://i.scdn.co/image/ab67616d0000b2731dc7483a9fcfce54822a2f19,1,m
The Chainsmokers,us,Electronic,https://i.scdn.co/image/ab6761610000e5eb3c02f4fb4cc9187c488afd50,spotify:artist:69GGBxA162lTqCwzJG5jLp,2017,Something Just Like This,https://p.scdn.co/mp3-preview/670e79b0cfebfdfbb0dabaafe1566d3c4fba964f?cid=98f79e400795491cbc5f69b713465708,https://i.scdn.co/image/ab67616d0000b2730c13d3d5a503c84fcc60ae94,2,m
Rauw Alejandro,pr,Latin,https://i.scdn.co/image/ab6761610000e5eb923e85a0eefbab49fd8d4920,spotify:artist:1mcTU81TzQhprhouKaTkpq,2019,Te Felicito,https://p.scdn.co/mp3-preview/625b33ae6a9867c0a0f277bcc945e0440c5d7a4a?cid=98f79e400795491cbc5f69b713465708,https://i.scdn.co/image/ab67616d0000b2739a9716c90ceeb1890921e44f,1,m
Avicii,se,Electronic,https://i.scdn.co/image/ab6761610000e5eb09bf4814c6585e1f69dfeef7,spotify:artist:1vCWHaC5f2uS3yhpwWbIA6,2013,The Nights,https://p.scdn.co/mp3-preview/c29275fe1e3b88c7e9d327aa20319b0099ae3583?cid=98f79e400795491cbc5f69b713465708,https://i.scdn.co/image/ab67616d0000b2730ae4f4d42e4a09f3a29f64ad,1,m
DaBaby,us,Hip Hop,https://i.scdn.co/image/ab6761610000e5eb5ace68c56849548db7f102be,spotify:artist:4r63FhuTkUYltbVAg5TQnk,2016,Levitating (feat. DaBaby),https://p.scdn.co/mp3-preview/baa8859b39dc78685642e1adfe60ec5ef8b3a5cf?cid=98f79e400795491cbc5f69b713465708,https://i.scdn.co/image/ab67616d0000b273d4daf28d55fe4197ede848be,1,m
The Notorious B.I.G.,us,Hip Hop,https://i.scdn.co/image/1b4858fbd24046a81cace5ee18d19c868262b91f,spotify:artist:5me0Irg2ANcsgc93uaYrpb,1994,Hypnotize - 2014 Remaster,https://p.scdn.co/mp3-preview/8da9fc5442bff368a762b8e9e30a6e4906a45d21?cid=98f79e400795491cbc5f69b713465708,https://i.scdn.co/image/ab67616d0000b273fde79b88e2a659c394c5ae30,1,m
Camila Cabello,us,Pop,https://i.scdn.co/image/ab6761610000e5ebec05963eab63676a539fef13,spotify:artist:4nDoRrQiYLoBzwC5BhVJzF,2018,Bam Bam (feat. Ed Sheeran),https://p.scdn.co/mp3-preview/466c89a17b60495a63f8e02ec260723c5c1d5e37?cid=98f79e400795491cbc5f69b713465708,https://i.scdn.co/image/ab67616d0000b273370ed6a9ced20874385fb147,1,f
Doja Cat,us,Pop,https://i.scdn.co/image/ab6761610000e5eb727a2ac15afe659be999beba,spotify:artist:5cj0lLjcoR7YOSnhnX0Po5,2018,I Like You (A Happier Song) (with Doja Cat),https://p.scdn.co/mp3-preview/4d41c0cb71956cf3d9b065bb68622138ee530d2a?cid=98f79e400795491cbc5f69b713465708,https://i.scdn.co/image/ab67616d0000b27334362676667a4322838ccc97,1,f
Metallica,us,Metal,https://i.scdn.co/image/ab6761610000e5eb69ca98dd3083f1082d740e44,spotify:artist:2ye2Wgw4gimLv2eAKyk1NB,1983,Enter Sandman (Remastered),https://p.scdn.co/mp3-preview/872e1c326c6ed346ece99a1abee1414384936656?cid=98f79e400795491cbc5f69b713465708,https://i.scdn.co/image/ab67616d0000b2731f9edf15e43f4c2f4938b869,4,m
